BibTex Key,Emotion Model Citation,Emotion Model,Engagement Citation,Engagement Concept
harrison2013affpriming,Russell 1980,Circumplex Valence-Arousal Model,,"capturing attention, interacting with"
lan2022kineticharts,Hung & Parsons 2017,emotional involvement while interacting with a visualization,O'Brien & Toms 2008/2010,"""a quality of user experience characterized by attributes of challenge, positive affect, endurability, aesthetic and sensory appeal, attention, feedback, variety/novelty, interactivity, and perceived user control."""
xie2024emordle,Scherer 2013,Geneva Emotion Wheel 3.0,"Malik et al. 2009, Viegas et al. 2009","capturing attention, actively participating in, authoring"
pfeiffer2022makehappy,Plutchik 1980,Wheel of Emotions,,capturing attention
yang2024swaying,Watson et al. 1988,PANAS-X,,
blair2025immutable,Bradley & Lang 1994,"""Emotion is commonly characterized through three factors: arousal, valence, and dominance""",Kennedy & Hill 2018,"capturing attention, interacting with, sense-making"
morini2024ShockShiftData,Hung & Parsons 2017,emotional involvement while interacting with a visualization,Attfield et al. 2011,Cognitive-Affective engagement model
allen2018visbrokerage,Lerner and Keltner 2000,emotions mediate how people evaluated information by suggesting appropriate actions,,"sense-making, decision-making"
hakone2016proact,,,,"increasing awareness, facilitating decision-making"
abraha2025diabetes,Michie et al. 2011,COM-B Framework,Michie et al. 2011,COM-B Framework
holder2024tuesday,,,,"receptivity to information, sense-making"
elhamdadi2024vistrust,"McAllister 1995, Zhang 2013","Affective trust is the ""immediate emotional responses to the data or visualiatin, as well as affective perceptions of either/both."" (reference)",Kelton et al. 2007,establishing trust
giacomin2012energyvis,Russell 1980,Circumplex Valence-Arousal Model,O'Brien & Toms 2008/2010,"""a quality of user experience characterized by attributes of challenge, positive affect, endurability, aesthetic and sensory appeal, attention, feedback, variety/novelty, interactivity, and perceived user control."""
zhang2021affcolmap,Russell 1980,Circumplex Valence-Arousal Model,,"looking at, interacting with, consuming"
anderson2021affective,Russell 2003,Core Affect Model (circumplex model),Segel & Heer 2010,"looking at, interacting with, consuming"
song2025credibility,,,,"capturing attention, spending time with, sense-making"
li2023artistic,Scherer 2005,Gevena Emotion Wheel (modified),,"interacting with, reflecting on"
alebri2023embellishments,,,"Mahyar et al. 2018, Yi 2015","Taxonomy of engagement, Enticement (own)"
kauer2021publiclife,,,"Walny et al. 2020, own","interacting with, sense-making, increasing memorability, decision-making; direct engagement (observable interactions with the space, artifacts, and people) and data engagement (extend to which a visitor connects with [...] the data behind the visualization); commenting on, reactions: observation, conclusion, hypothesis, clarification, proposal, critique, additional information, testimony, opinion (including feelings and emotional reactions), other"
zhao2022visasinfra,,,Kennedy et al. 2016,"six factors: subject matter, beliefs and opinions, emotions, confidence and skills, source/media location, time"
arunkumar2025recall,,,,"capturing attention, interacting with, increasing memorability"
mckinley2025trustworthy,,,,"capturing attention, spending time with, interacting with"
kennedy2025generic,,,,"capturing attention, sense-making, interacting with, interpreting"
fox2025vibes,,,Kennedy et al. 2016 (engaging with big data),"""the processes of looking, reading, interpreting and thinking that take place when people cast their eyes on data visualisations and try to make sense of them"""
van2021justagraph,Watson et al. 1988,PANAS,,
koesten2025crisismaps,own,responding personally captures affective activities,own,"capturing attention, spending time with, sense-making, responding personally; analyzing, raising questions"
arunkumar2024imageinfo,He et al. 2023,BeauVis Scale,Mahyar et al. 2018,Taxonomy of engagement
sorapure2023user,Kostelnick 2016,emotional valence,Kennedy & Hill 2018,"capturing attention, interacting with, sense-making"
wu2023datadata,Gibbons 2018,empathy mapping,,"spending time with, showing interest, actively participating"
schuster2024climate,,no formal definition; working with emotions as a factor in perception and action toward climate change visualizations Reference Brosch 2021- Affect and emotions as drivers of climate change perception and action: A review,,"capturing attention, interacting with"
kennedy2018feeling,,,,"capturing attention, looking at, interacting with, consuming"
sallam2002datavideos,Marteau & Bekker 1992,State Anxiety Scale 5 model of personality - most accepted personality assessment model across diverse disciplines,Amini et al. 2018,"capturing attention, interacting with, feeling motivated to use"
he2024receptivity,Plutchik 1980,Wheel of Emotions,Kennedy et al. 2016,"looking at, reading, interpreting, reflecting, sense-making, receptivity (Enticement)"
lan2021smile,,,Kennedy & Hill 2018,"capturing attention, interacting with, sense-making"
ancker2009healthrisks,Petty & Cacioppo 1986,Elaboration Likelihood Model,,"manipulating, elaborating on, acting on"
zhang2023digital,"O'Brien and Toms 2010, Ajen 2001, Cyr et al. 2009, Davis 1982","User Engagement Scale, attitude as influenced by affective and cognitive factors, enjoyment defined as a feeling that causes a person to experience pleasure",Attfield et al. 2011,Cognitive-Affective engagement model
block2012deeptree,,,Humphrey & Gutwill 2005,"Planned Discovery, Active Prolonged Engagement; capturing attention, interacting with, exploring, learning"
oh2018harnessing,Gibson et al. 2011,Empathetic perception,"Wang & Sundar 2017, Green 2004, Green & Brock 2000/2002",Transportation
fuest2023nudging,Scherer 2005,Geneva Emotion Wheel,"Glasgow 2021, Quercia et al. 2014",nudging behaviour
banks2024benefits,,,Sadler et al. 2019/2022,"connecting with others, seeing different perspectives"
pirani2020femcart,Watson et al. 1988,PANAS,,"interacting with, paying attention to"
lan2021linearity,,,O'Brien & Toms 2008/2010,"capturing attention, spending time with, increasing memorability"
mencarini2025peaks,,,,"capturing attention, spending time with, sense-making, decision-making"
