Emotion Model Citation,Emotion Model,BibTex Key
Russell 1980,Circumplex Valence-Arousal Model,harrison2013affpriming
Hung & Parsons 2017,emotional involvement while interacting with a visualization,lan2022kineticharts
Scherer 2013,Geneva Emotion Wheel 3.0,xie2024emordle
Plutchik 1980,Wheel of Emotions,pfeiffer2022makehappy
Watson et al. 1988,PANAS-X,yang2024swaying
Bradley & Lang 1994,"""Emotion is commonly characterized through three factors: arousal, valence, and dominance""",blair2025immutable
Hung & Parsons 2017,emotional involvement while interacting with a visualization,morini2024ShockShiftData
Lerner and Keltner 2000,emotions mediate how people evaluated information by suggesting appropriate actions,allen2018visbrokerage
none,none,hakone2016proact
Michie et al. 2011,COM-B Framework,abraha2025diabetes
none,none,holder2024tuesday
"McAllister 1995, Zhang 2013","Affective trust is the ""immediate emotional responses to the data or visualiatin, as well as affective perceptions of either/both."" (reference)",elhamdadi2024vistrust
Russell 1980,Circumplex Valence-Arousal Model,giacomin2012energyvis
Russell 1980,Circumplex Valence-Arousal Model,zhang2021affcolmap
Russell 2003,Core Affect Model (circumplex model),anderson2021affective
none,none,song2025credibility
Scherer 2005,Gevena Emotion Wheel (modified),li2023artistic
none,none,alebri2023embellishments
none,none,kauer2021publiclife
none,none,zhao2022visasinfra
none,none,arunkumar2025recall
none,none,mckinley2025trustworthy
none,none,kennedy2025generic
none,none,fox2025vibes
Watson et al. 1988,PANAS,van2021justagraph
own,responding personally captures affective activities,koesten2025crisismaps
He et al. 2023,BeauVis Scale,arunkumar2024imageinfo
Kostelnick 2016,emotional valence,sorapure2023user
Gibbons 2018,empathy mapping,wu2023datadata
none,no formal definition; working with emotions as a factor in perception and action toward climate change visualizations Reference Brosch 2021- Affect and emotions as drivers of climate change perception and action: A review,schuster2024climate
none,none,kennedy2018feeling
Marteau & Bekker 1992,State Anxiety Scale 5 model of personality - most accepted personality assessment model across diverse disciplines,sallam2002datavideos
Plutchik 1980,Wheel of Emotions,he2024receptivity
,,lan2021smile
Petty & Cacioppo 1986,Elaboration Likelihood Model,ancker2009healthrisks
"O'Brien and Toms 2010, Ajen 2001, Cyr et al. 2009, Davis 1982","User Engagement Scale, attitude as influenced by affective and cognitive factors, enjoyment defined as a feeling that causes a person to experience pleasure",zhang2023digital
none,none,block2012deeptree
Gibson et al. 2011,Empathetic perception,oh2018harnessing
Scherer 2005,Geneva Emotion Wheel,fuest2023nudging
none,none,banks2024benefits
Watson et al. 1988,PANAS,pirani2020femcart
none,none,lan2021linearity
none,none,mencarini2025peaks
"Watson et al. 1988, Russell 1980, Moge et al. 2022","Circumplex Valence-Arousal Model, PANAS, Physiological basis",moin2025vagina
Petty & Cacioppo 1986,Elaboration Likelihood Model,sakamoto2022datavideo
Alam & So 2020,Emotional flow,mittenentzwei2023disease
Jowell & Fitzgerald 2007,European Social Survey,liem2020structure
Scherer 2005,Geneva Emotion Wheel,campbell2022Feeling
O'Brien Cairns Hall 2018,"User Engagement Scale capturing/focusing attention, exploring, eliciting a response",rogha2024impactelic
none,none,concannon2020brooke
none,none,davidson2025maps
Bartsh Kalch and Oliver 2014,Emotional Engagement Scale,vandenbosch2022weather
Ryan 1982,Intrinsic Motivation Inventory,ferreira2024arcadia
none,none,klettner2025significance
Brehmer & Munzner 2013,enjoyment in visualizing data,romat2020dearpict
"Batson 1987, Hoffman 2001","Empathy-altruism hypothesis, empathy-arousal",boy2017showing
Batson 1987,Batson's empathic concern,morais2022exploring
Hung & Parsons 2017,emotional engagement as empathy toward characters,zhu2024reader
none,none,lieske2014climate
Wilce 2009,Sentiment analysis (proxy for emotional measurement),kaufmann2023environart
Oinas-Kukkonen & Harjumaa 2009,Persuasive System Design (PSD) Model,zamil2025ccgame
Watson et al. 1988,"I-PANAS-SF Elaboration Likelihood Model (ELM) (Petty & Cacioppo) - persuasion plays an important role together with emotions (Petty & Brinol - emotion and persuasion). For change of attitude to be lasting, it needs to be accompanied fby formation of a satisfactory memory (info retention)",garreton2023attitudinal
none,none,edgeley2024wildfire
Relph 2008,"emotional resonance as personal involvement (""locality"" theory)",zou2025campus
none,none,ehmel2021topography
none,none,knoll2025gulf
none,none,jain2025strolly
none,none,markant2026sectarianism
none,positive and negative emotional valence,strain2025scatter
Plutchik 1980,Wheel of Emotions,wei2025atthepeak
