Engagement Citation,Engagement Concept,BibTex Key
none,"capturing attention, interacting with",harrison2013affpriming
O'Brien & Toms 2008/2010,"""a quality of user experience characterized by attributes of challenge, positive affect, endurability, aesthetic and sensory appeal, attention, feedback, variety/novelty, interactivity, and perceived user control.""",lan2022kineticharts
"Malik et al. 2009, Viegas et al. 2009","capturing attention, actively participating in, authoring",xie2024emordle
none,capturing attention,pfeiffer2022makehappy
none,none,yang2024swaying
Kennedy & Hill 2018,"capturing attention, interacting with, sense-making",blair2025immutable
Attfield et al. 2011,Cognitive-Affective engagement model,morini2024ShockShiftData
none,"sense-making, decision-making",allen2018visbrokerage
none,"increasing awareness, facilitating decision-making",hakone2016proact
Michie et al. 2011,COM-B Framework,abraha2025diabetes
none,"receptivity to information, sense-making",holder2024tuesday
Kelton et al. 2007,establishing trust,elhamdadi2024vistrust
O'Brien & Toms 2008/2010,"""a quality of user experience characterized by attributes of challenge, positive affect, endurability, aesthetic and sensory appeal, attention, feedback, variety/novelty, interactivity, and perceived user control.""",giacomin2012energyvis
none,"looking at, interacting with, consuming",zhang2021affcolmap
Segel & Heer 2010,"looking at, interacting with, consuming",anderson2021affective
none,"capturing attention, spending time with, sense-making",song2025credibility
none,"interacting with, reflecting on",li2023artistic
"Mahyar et al. 2018, Yi 2015","Taxonomy of engagement, Enticement (own)",alebri2023embellishments
"Walny et al. 2020, own","interacting with, sense-making, increasing memorability, decision-making; direct engagement (observable interactions with the space, artifacts, and people) and data engagement (extend to which a visitor connects with [...] the data behind the visualization); commenting on, reactions: observation, conclusion, hypothesis, clarification, proposal, critique, additional information, testimony, opinion (including feelings and emotional reactions), other",kauer2021publiclife
Kennedy et al. 2016,"six factors: subject matter, beliefs and opinions, emotions, confidence and skills, source/media location, time",zhao2022visasinfra
,"capturing attention, interacting with, increasing memorability",arunkumar2025recall
none,"capturing attention, spending time with, interacting with",mckinley2025trustworthy
,"capturing attention, sense-making, interacting with, interpreting",kennedy2025generic
Kennedy et al. 2016 (engaging with big data),"""the processes of looking, reading, interpreting and thinking that take place when people cast their eyes on data visualisations and try to make sense of them""",fox2025vibes
,,van2021justagraph
own,"capturing attention, spending time with, sense-making, responding personally; analyzing, raising questions",koesten2025crisismaps
Mahyar et al. 2018,Taxonomy of engagement,arunkumar2024imageinfo
Kennedy & Hill 2018,"capturing attention, interacting with, sense-making",sorapure2023user
none,"spending time with, showing interest, actively participating",wu2023datadata
none,"capturing attention, interacting with",schuster2024climate
none,"capturing attention, looking at, interacting with, consuming",kennedy2018feeling
Amini et al. 2018,"capturing attention, interacting with, feeling motivated to use",sallam2002datavideos
Kennedy et al. 2016,"looking at, reading, interpreting, reflecting, sense-making, receptivity (Enticement)",he2024receptivity
Kennedy & Hill 2018,"capturing attention, interacting with, sense-making",lan2021smile
none,"manipulating, elaborating on, acting on",ancker2009healthrisks
Attfield et al. 2011,Cognitive-Affective engagement model,zhang2023digital
Humphrey & Gutwill 2005,"Planned Discovery, Active Prolonged Engagement; capturing attention, interacting with, exploring, learning",block2012deeptree
"Wang & Sundar 2017, Green 2004, Green & Brock 2000/2002",Transportation,oh2018harnessing
"Glasgow 2021, Quercia et al. 2014",nudging behaviour,fuest2023nudging
Sadler et al. 2019/2022,"connecting with others, seeing different perspectives",banks2024benefits
none,"interacting with, paying attention to",pirani2020femcart
O'Brien & Toms 2008/2010,"capturing attention, spending time with, increasing memorability",lan2021linearity
none,"capturing attention, spending time with, sense-making, decision-making",mencarini2025peaks
none,"capturing attention, interacting with, sense-making, learning from",moin2025vagina
